respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,1,Pumped Up Kicks,Foster The People,239600,85,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,2,On Melancholy Hill,Gorillaz,233866,84,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,4
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,3,Feels Like We Only Go Backwards,Tame Impala,192960,77,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,1,El paseo,"Claudio Montana, Ultralágrima",116216,48,0.32,0.363,5,-13.995,1,0.0447,0.858,0.682,0.106,0.0466,120.749,4
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,2,Es amor,Finale,113858,37,0.537,0.83,6,-5.067,1,0.0429,6.81e-05,0.532,0.109,0.714,112.071,4
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,3,Preguntas ,El Canto Del Loco,203426,39,0.432,0.935,1,-2.708,1,0.108,0.0321,0.0,0.151,0.355,178.003,4
4,yes,Argentina,1–2 years,Female,Music from my home country/culture,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,1,Blackout by Emilia Mernes,"Emilia, TINI, Nicki Nicole",182282,72,0.778,0.787,9,-2.447,0,0.0478,0.245,0.000106,0.111,0.957,137.994,4
4,yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,2,Dive by Ed Sheeran,Ed Sheeran,238440,76,0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,3
4,yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,3,La Estrategia by Cali y El Dandee,Cali Y El Dandee,219228,66,0.392,0.7,8,-5.838,1,0.282,0.136,0.0,0.082,0.224,165.571,4
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,1,About You - The 1975,The 1975,326490,87,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,2,Manchild - Sabrina Carpenter,Sabrina Carpenter,213645,85,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,3,Apple - Charli xcx,Charli xcx,151739,77,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4
6,yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,1,Em iu,"Andree Right Hand, Wxrdie, Donald Gold, 2Pillz",176000,59,0.936,0.518,0,-6.853,0,0.173,0.0673,9.46e-05,0.0764,0.402,120.039,4
6,yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,2,Anh đã ổn hơn,RPT MCK,194005,58,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3
6,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,2-Slightly decreased,4,4,4,2,4,4,3,End of Beginning ,Djo,159245,100,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,1,what was that (lorde),Lorde,209286,74,0.603,0.612,0,-6.732,1,0.159,0.352,2.68e-05,0.103,0.174,126.612,4
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,2,girl feels good (fka twigs),FKA twigs,236893,56,0.667,0.693,9,-8.785,1,0.0428,0.531,0.00598,0.101,0.366,112.031,4
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,3,shapeshifter (lorde),Lorde,257065,68,0.574,0.632,0,-5.756,1,0.0618,0.41,0.00735,0.112,0.304,139.914,4
9,yes,China,3–6 months,Male,Neither home nor NL,,1- Not at all,3- No change,2,2,5,6,5,3,1,After Hours,The Weeknd,361026,82,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4
9,yes,China,3–6 months,Male,Neither home nor NL,,1- Not at all,3- No change,2,2,5,6,5,3,2,Show Me Love,"WizTheMc, bees & honey",176965,83,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
9,yes,China,3–6 months,Male,Music from my home country/culture,,1- Not at all,3- No change,2,2,5,6,5,3,3,Strange Weather,"YELLOW黃宣, 9m88",259386,50,0.586,0.376,6,-14.756,0,0.357,0.802,2.69e-06,0.128,0.471,77.548,4
