respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,1,Pumped Up Kicks,Foster The People,239600,85,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4,False,0
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,2,On Melancholy Hill,Gorillaz,233866,84,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,4,False,0
1,yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,3,Feels Like We Only Go Backwards,Tame Impala,192960,77,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4,False,0
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,1,About You - The 1975,The 1975,326490,87,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4,False,0
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,2,Manchild - Sabrina Carpenter,Sabrina Carpenter,213645,85,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4,False,0
5,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,3,Apple - Charli xcx,Charli xcx,151739,77,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4,False,0
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,1,what was that (lorde),Lorde,209286,74,0.603,0.612,0,-6.732,1,0.159,0.352,2.68e-05,0.103,0.174,126.612,4,False,0
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,2,girl feels good (fka twigs),FKA twigs,236893,56,0.667,0.693,9,-8.785,1,0.0428,0.531,0.00598,0.101,0.366,112.031,4,False,0
8,yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,3,shapeshifter (lorde),Lorde,257065,68,0.574,0.632,0,-5.756,1,0.0618,0.41,0.00735,0.112,0.304,139.914,4,False,0
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,1,Butterflies - Justin Bieber,Justin Bieber,193525,63,0.588,0.547,9,-8.219,1,0.0313,0.733,1.16e-06,0.195,0.404,103.93,4,False,0
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,2,Revolving Door - Tate Mcrae,Tate McRae,180032,84,0.452,0.737,6,-6.22,1,0.27,0.354,0.0,0.105,0.179,147.822,4,False,0
18,yes,Belgium,3–6 months,Female,Neither home nor NL,,4- Much,3- No change,1 - Strongly Disagree,1 - Strongly Disagree,2,2,2,2,3,Warm - Ariana Grande,Ariana Grande,201905,69,0.736,0.762,8,-6.48,1,0.0681,0.121,1.78e-05,0.0982,0.492,122.047,4,False,0
19,yes,Hungary,more than 2 years,Male,Neither home nor NL,,1- Not at all,3- No change,6,5,7 - Strongly agree,6,1 - Strongly Disagree,4,1,Drunk-Dazed,ENHYPEN,193260,77,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,4,False,0
19,yes,Hungary,more than 2 years,Male,Neither home nor NL,,1- Not at all,3- No change,6,5,7 - Strongly agree,6,1 - Strongly Disagree,4,2,Lalalala,Stray Kids,182224,78,0.705,0.849,0,-2.595,1,0.0493,0.0647,0.0,0.653,0.609,125.976,4,False,0
