respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,is_home_song,home_song_count
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,1,El paseo,"Claudio Montana, Ultralágrima",116216,48,0.32,0.363,5,-13.995,1,0.0447,0.858,0.682,0.106,0.0466,120.749,4,True,3
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,2,Es amor,Finale,113858,37,0.537,0.83,6,-5.067,1,0.0429,6.81e-05,0.532,0.109,0.714,112.071,4,True,3
3,yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,3,Preguntas ,El Canto Del Loco,203426,39,0.432,0.935,1,-2.708,1,0.108,0.0321,0.0,0.151,0.355,178.003,4,True,3
4,yes,Argentina,1–2 years,Female,Music from my home country/culture,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,1,Blackout by Emilia Mernes,"Emilia, TINI, Nicki Nicole",182282,72,0.778,0.787,9,-2.447,0,0.0478,0.245,0.000106,0.111,0.957,137.994,4,True,1
4,yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,2,Dive by Ed Sheeran,Ed Sheeran,238440,76,0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,3,False,1
4,yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,3,La Estrategia by Cali y El Dandee,Cali Y El Dandee,219228,66,0.392,0.7,8,-5.838,1,0.282,0.136,0.0,0.082,0.224,165.571,4,False,1
6,yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,1,Em iu,"Andree Right Hand, Wxrdie, Donald Gold, 2Pillz",176000,59,0.936,0.518,0,-6.853,0,0.173,0.0673,9.46e-05,0.0764,0.402,120.039,4,True,2
6,yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,2,Anh đã ổn hơn,RPT MCK,194005,58,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3,True,2
6,yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,2-Slightly decreased,4,4,4,2,4,4,3,End of Beginning ,Djo,159245,100,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4,False,2
9,yes,China,3–6 months,Male,Neither home nor NL,,1- Not at all,3- No change,2,2,5,6,5,3,1,After Hours,The Weeknd,361026,82,0.658,0.572,5,-6.099,0,0.0308,0.0811,0.0061,0.121,0.144,108.968,4,False,1
9,yes,China,3–6 months,Male,Neither home nor NL,,1- Not at all,3- No change,2,2,5,6,5,3,2,Show Me Love,"WizTheMc, bees & honey",176965,83,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4,False,1
