respondent_id,Q6,Q7,Q8,Q9,Q11,Q12,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,song_position,song_from_response,Artist Name(s),Track Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1,Yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,1,Pumped Up Kicks,Foster The People,239600,85,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,4
1,Yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,2,On Melancholy Hill,Gorillaz,233866,84,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,4
1,Yes,France,more than 2 years,Male,Neither home nor NL,,2- Slightly,5 - Strongly increased,1 - Strongly Disagree,1 - Strongly Disagree,4,5,1 - Strongly Disagree,1 - Strongly Disagree,3,Feels Like We Only Go Backwards,Tame Impala,192960,77,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
2,No,Netherlands,,Male,,Not from the Netherlands,,,,,7 - Strongly agree,5,,,1,How to Bip (Rockout Danny),"Rockout Danny, G Herbo, VonOff1700",154777,60,0.544,0.775,6,-4.852,0,0.315,0.0836,0.0,0.136,0.233,126.704,5
2,No,Netherlands,,Male,,Not from the Netherlands,,,,,7 - Strongly agree,5,,,2,Daten (Creepy Nuts),Creepy Nuts,172948,58,0.543,0.901,1,-4.8,1,0.219,0.0118,0.0,0.325,0.75,199.892,4
2,No,Netherlands,,Male,,Not from the Netherlands,,,,,7 - Strongly agree,5,,,3,Yofukashino Uta (Creepy Nuts),Creepy Nuts,237913,65,0.746,0.976,5,-3.123,0,0.187,0.188,0.0,0.353,0.912,115.048,4
3,Yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,1,El paseo,"Claudio Montana, Ultralágrima",116216,48,0.32,0.363,5,-13.995,1,0.0447,0.858,0.682,0.106,0.0466,120.749,4
3,Yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,2,Es amor,Finale,113858,37,0.537,0.83,6,-5.067,1,0.0429,6.81e-05,0.532,0.109,0.714,112.071,4
3,Yes,Spain,more than 2 years,Female,Music from my home country/culture,,1- Not at all,3- No change,4,5,7 - Strongly agree,7 - Strongly agree,5,4,3,Preguntas ,El Canto Del Loco,203426,39,0.432,0.935,1,-2.708,1,0.108,0.0321,0.0,0.151,0.355,178.003,4
4,Yes,Argentina,1–2 years,Female,Music from my home country/culture,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,1,Blackout by Emilia Mernes,"Emilia, TINI, Nicki Nicole",182282,72,0.778,0.787,9,-2.447,0,0.0478,0.245,0.000106,0.111,0.957,137.994,4
4,Yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,2,Dive by Ed Sheeran,Ed Sheeran,238440,76,0.761,0.386,4,-6.158,1,0.0399,0.355,0.0,0.0953,0.526,134.943,3
4,Yes,Argentina,1–2 years,Female,Neither home nor NL,,4- Much,5 - Strongly increased,6,6,7 - Strongly agree,7 - Strongly agree,5,5,3,La Estrategia by Cali y El Dandee,Cali Y El Dandee,219228,66,0.392,0.7,8,-5.838,1,0.282,0.136,0.0,0.082,0.224,165.571,4
5,Yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,1,About You - The 1975,The 1975,326490,87,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4
5,Yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,2,Manchild - Sabrina Carpenter,Sabrina Carpenter,213645,85,0.731,0.685,7,-5.087,1,0.0572,0.122,0.0,0.317,0.811,123.01,4
5,Yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,4- Slightly increased,6,4,7 - Strongly agree,5,5,3,3,Apple - Charli xcx,Charli xcx,151739,77,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4
6,Yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,1,Em iu,"Andree Right Hand, Wxrdie, Donald Gold, 2Pillz",176000,59,0.936,0.518,0,-6.853,0,0.173,0.0673,9.46e-05,0.0764,0.402,120.039,4
6,Yes,Vietnam,3–6 months,Female,Music from my home country/culture,,4- Much,2-Slightly decreased,4,4,4,2,4,4,2,Anh đã ổn hơn,RPT MCK,194005,58,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892,3
6,Yes,Vietnam,3–6 months,Female,Neither home nor NL,,4- Much,2-Slightly decreased,4,4,4,2,4,4,3,End of Beginning ,Djo,159245,100,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
7,No,Netherlands,,Female,,Not from the Netherlands,,,,,6,6,,,1,REPLAY,Iyaz,182306,83,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4
7,No,Netherlands,,Female,,Not from the Netherlands,,,,,6,6,,,2,YES IT IS,Leon Thomas,228047,73,0.755,0.642,5,-6.105,0,0.141,0.593,0.000301,0.122,0.293,121.945,4
7,No,Netherlands,,Female,,Not from the Netherlands,,,,,6,6,,,3,Soh-Soh,Odeal,184552,50,0.729,0.894,2,-5.95,1,0.046,0.00317,0.0014,0.0815,0.691,95.012,4
8,Yes,Slovakia,1–2 years,Male,Neither home nor NL,,1- Not at all,4- Slightly increased,2,2,4,2,2,1 - Strongly Disagree,1,what was that (lorde),Lorde,209286,74,0.603,0.612,0,-6.732,1,0.159,0.352,2.68e-05,0.103,0.174,126.612,4
